,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
303,2015-10-30 23:00:00,16.454916,0.0,20.63023,2.7866366
304,2015-10-31 23:00:00,17.773668,0.0,27.682571,2.76013
305,2015-11-01 23:00:00,19.371586,0.3,21.924562,2.033717
306,2015-11-02 23:00:00,18.909086,0.90000004,14.512064,2.3479872
307,2015-11-03 23:00:00,17.388252,0.5,11.841756,2.119552
308,2015-11-04 23:00:00,16.673666,0.0,10.086427,2.1269507
309,2015-11-05 23:00:00,16.544502,0.0,9.659814,2.1526248
310,2015-11-06 23:00:00,16.373667,0.0,14.336861,2.1728609
311,2015-11-07 23:00:00,17.329918,0.0,14.113652,2.388387
312,2015-11-08 23:00:00,17.102833,0.0,9.3669195,2.3668344
313,2015-11-09 23:00:00,15.902831,0.0,9.36,2.1442761
314,2015-11-10 23:00:00,15.065331,0.0,8.699793,1.9887617
315,2015-11-11 23:00:00,16.061167,0.0,10.853866,2.0170012
316,2015-11-12 23:00:00,16.469501,0.2,15.941944,1.7876678
317,2015-11-13 23:00:00,16.607002,0.0,11.720751,1.6944906
318,2015-11-14 23:00:00,15.159083,0.0,9.178235,2.022477
319,2015-11-15 23:00:00,14.375748,0.0,10.799999,1.959458
320,2015-11-16 23:00:00,15.225747,0.0,10.086427,1.5158135
321,2015-11-17 23:00:00,15.352833,0.0,8.913181,1.5532649
322,2015-11-18 23:00:00,14.648667,0.0,8.913181,1.712529
323,2015-11-19 23:00:00,15.027833,0.0,15.856354,2.2696087
324,2015-11-20 23:00:00,18.25492,5.0,35.757988,4.4706054
325,2015-11-21 23:00:00,12.779916,1.1,19.083395,1.9238901
326,2015-11-22 23:00:00,10.46325,8.4,10.636766,1.4480438
327,2015-11-23 23:00:00,9.944501,14.300001,13.450708,0.8306728
328,2015-11-24 23:00:00,12.615334,0.70000005,34.627434,1.9305236
329,2015-11-25 23:00:00,14.927833,5.699999,34.964508,1.8698468
330,2015-11-26 23:00:00,12.561168,2.4,21.096123,1.5007007
331,2015-11-27 23:00:00,11.23825,0.0,9.726665,1.6904145
332,2015-11-28 23:00:00,12.517418,0.0,9.028754,1.5976882
333,2015-11-29 23:00:00,12.748666,0.0,9.3876505,1.6877725
334,2015-11-30 23:00:00,12.482001,0.0,9.227524,1.8477755
335,2015-12-01 23:00:00,12.661167,0.0,8.707238,1.6889931
336,2015-12-02 23:00:00,11.259084,0.0,7.9932976,0.9172572
337,2015-12-03 23:00:00,10.696584,0.0,9.9571085,1.5073471
338,2015-12-04 23:00:00,12.054919,0.0,11.5199995,1.468245
339,2015-12-05 23:00:00,11.836167,0.0,9.746631,1.6999308
340,2015-12-06 23:00:00,12.063249,0.0,12.224107,1.7232302
341,2015-12-07 23:00:00,12.906999,0.0,10.853866,1.7336128
342,2015-12-08 23:00:00,12.042417,0.0,16.279802,1.4225924
